# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_ABySS/k_107/Dstr_v1.3_k107-scaffolds.fa -o Dstr_v1.3_k107 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	7154701	1492	14437	5003.7	2476
EOG0936000A	Fragmented	7111800	1	7737	3202.8	1818
EOG0936001N	Complete	7162064	1	12377	3091.8	1554
EOG0936001W	Complete	6940911	1	6845	1854.1	1121
EOG09360025	Complete	6985774	1	11122	1969.4	1064
EOG0936003Z	Complete	7149938	1	12597	1738.6	1262
EOG0936004R	Complete	7084754	3	5983	1155.5	735
EOG0936004W	Complete	7070660	316	14695	1927.3	1184
EOG0936008E	Complete	6845007	1648	6889	386.3	327
EOG0936008K	Complete	6901879	306	5902	2453.5	1149
EOG09360091	Fragmented	6997705	1	5497	1709.7	1010
EOG0936009W	Complete	6306222	76	4613	1015.9	688
EOG093600CA	Complete	7183075	3726	9940	2365.6	1144
EOG093600CH	Missing
EOG093600CL	Complete	6956877	1	9169	1039.1	629
EOG093600DF	Missing
EOG093600DJ	Missing
EOG093600DL	Fragmented	7081217	7	5275	1692.9	1006
EOG093600EH	Complete	6922119	1	8187	1995.3	1087
EOG093600FR	Complete	7007845	1	4177	806.1	583
EOG093600G6	Complete	6917843	1	5237	930.4	809
EOG093600GM	Fragmented	4247094	1	3589	1797.4	998
EOG093600H1	Fragmented	7022561	1	2835	444.9	231
EOG093600IQ	Complete	6937602	1783	10873	1943.9	1103
EOG093600K5	Complete	7172754	681	6453	1334.0	764
EOG093600LV	Fragmented	7179892	1247	7832	702.6	447
EOG093600N9	Complete	7129814	1894	7090	974.2	688
EOG093600NS	Missing
EOG093600O6	Fragmented	7007077	1452	6040	1043.5	745
EOG093600OF	Fragmented	7064539	1	7390	762.5	361
EOG093600ON	Complete	6872190	1490	15407	1685.3	960
EOG093600OU	Fragmented	6920373	1	7872	774.3	426
EOG093600P5	Complete	7021236	1	5187	975.6	739
EOG093600PE	Complete	7188274	2	7075	2240.2	1131
EOG093600QB	Complete	6988666	941	7591	1086.2	728
EOG093600R5	Missing
EOG093600SL	Missing
EOG093600SS	Fragmented	611238	1	3048	1151.4	685
EOG093600SY	Fragmented	6999594	1	2561	1001.8	445
EOG093600T6	Complete	6922899	1	5991	885.8	628
EOG093600T8	Complete	6887996	815	3126	653.3	519
EOG093600TY	Missing
EOG093600TZ	Complete	6837090	508	10367	501.6	333
EOG093600U4	Complete	7015231	8315	11787	308.2	882
EOG093600U9	Fragmented	7038639	1	8102	657.2	459
EOG093600UX	Missing
EOG093600W2	Missing
EOG093600WS	Complete	6949940	136	3520	1360.3	877
EOG093600X9	Complete	7094649	1126	7794	1275.4	894
EOG093600XL	Complete	1407611	629	4057	1719.1	974
EOG093600YH	Complete	7019611	2769	5937	1439.5	905
EOG093600ZL	Complete	7042139	1139	5674	1431.8	841
EOG0936011P	Missing
EOG0936011U	Complete	7163104	346	9275	1342.2	876
EOG0936011V	Complete	7170855	1	5468	766.1	462
EOG09360146	Complete	7118738	146	3152	1524.5	830
EOG09360155	Missing
EOG0936015N	Complete	6998825	1199	4670	1378.8	959
EOG0936017C	Missing
EOG0936017K	Fragmented	7046096	706	5234	592.1	309
EOG09360199	Complete	6985237	106	3105	1412.2	738
EOG0936019N	Complete	6927950	346	3870	763.8	773
