# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_ABySS/k_89/Dstr_v1.3_k89-scaffolds.fa -o Dstr_v1.3_k89 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	8030006	1	10212	4330.0	2130
EOG0936000A	Fragmented	9608173	1	3341	1761.0	977
EOG0936001N	Fragmented	8409875	1	5757	1174.3	639
EOG0936001W	Complete	3419598	1	6854	1854.1	1121
EOG09360025	Complete	7951760	1	8983	1784.3	950
EOG0936003Z	Fragmented	1225145	1	4801	1186.8	758
EOG0936004R	Complete	9980393	153	6668	1203.4	763
EOG0936004W	Missing
EOG0936008E	Fragmented	7209755	1	4179	383.6	234
EOG0936008K	Complete	10033129	2	5234	2453.8	1144
EOG09360091	Fragmented	10012383	13	5520	1709.7	1010
EOG0936009W	Missing
EOG093600CA	Missing
EOG093600CH	Missing
EOG093600CL	Fragmented	10022150	1	6852	447.5	333
EOG093600DF	Missing
EOG093600DJ	Fragmented	10049042	1	6774	1177.1	581
EOG093600DL	Complete	10025458	2	7092	1872.3	1111
EOG093600EH	Complete	10019223	1	9407	1994.8	1087
EOG093600FR	Fragmented	4905505	970	3123	794.2	544
EOG093600G6	Fragmented	6811084	355	3673	766.9	538
EOG093600GM	Complete	1688305	1	4157	2029.0	1141
EOG093600H1	Fragmented	6690344	309	6552	550.9	345
EOG093600IQ	Fragmented	10037643	1	2913	812.9	445
EOG093600K5	Complete	329437	2	1842	595.8	416
EOG093600LV	Complete	917712	408	9880	1180.8	724
EOG093600N9	Complete	1576969	1	4315	922.3	657
EOG093600NS	Missing
EOG093600O6	Fragmented	4141378	266	4005	1107.5	723
EOG093600OF	Missing
EOG093600ON	Missing
EOG093600OU	Fragmented	1293571	1	2369	337.6	174
EOG093600P5	Complete	867931	872	6711	1045.9	770
EOG093600PE	Missing
EOG093600QB	Fragmented	4502798	1	1613	334.2	334
EOG093600R5	Missing
EOG093600SL	Missing
EOG093600SS	Fragmented	4150053	1	2783	1115.7	665
EOG093600SY	Fragmented	5468922	443	2565	1002.4	446
EOG093600T6	Complete	5369522	826	4719	614.9	458
EOG093600T8	Complete	2201549	1	4029	990.8	696
