# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_ABySS/k_105/Dstr_v1.3_k105-scaffolds.fa -o Dstr_v1.3_k105 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	7111148	1	13043	5027.1	2487
EOG0936000A	Fragmented	7236248	1	7735	3202.8	1818
EOG0936001N	Complete	7254045	513	12437	3091.9	1554
EOG0936001W	Complete	7319595	1	7037	1848.9	1127
EOG09360025	Complete	7296600	1	12583	2117.1	1107
EOG0936003Z	Complete	7100900	220	13317	1780.4	1364
EOG0936004R	Complete	7266773	3	5983	1155.5	735
EOG0936004W	Complete	7220969	316	14695	1927.3	1184
EOG0936008E	Complete	7169125	2042	7283	386.3	327
EOG0936008K	Complete	7249601	5559	11157	2453.5	1149
EOG09360091	Fragmented	7106864	1	5497	1709.7	1010
EOG0936009W	Complete	7101375	76	4613	1015.9	688
EOG093600CA	Complete	7155938	3726	9940	2365.6	1144
EOG093600CH	Missing
EOG093600CL	Complete	7212448	1	8142	1039.3	629
EOG093600DF	Missing
EOG093600DJ	Fragmented	7109950	3957	12356	1123.8	589
EOG093600DL	Complete	7136454	1875	8617	1884.1	1120
EOG093600EH	Complete	7262969	379	8065	1995.2	1087
EOG093600FR	Complete	7311626	1	5062	804.7	582
EOG093600G6	Complete	7122477	1	7509	1045.1	953
EOG093600GM	Fragmented	216164	404	3992	1726.8	958
EOG093600H1	Fragmented	7142144	1	2835	337.1	186
EOG093600IQ	Complete	7201291	4	9175	1952.1	1120
EOG093600K5	Complete	6337505	1	6152	1334.0	764
EOG093600LV	Fragmented	7290075	1267	7852	702.6	447
EOG093600N9	Complete	7101034	1	6000	955.1	679
EOG093600NS	Missing
EOG093600O6	Missing
EOG093600OF	Missing
EOG093600ON	Complete	7061354	1490	15407	1685.3	960
EOG093600OU	Fragmented	7289675	4545	12048	805.3	445
EOG093600P5	Complete	7063278	1	5187	975.6	739
EOG093600PE	Complete	7336485	8	7153	2286.0	1131
EOG093600QB	Complete	7241134	985	7667	1054.7	729
EOG093600R5	Missing
EOG093600SL	Missing
EOG093600SS	Fragmented	1935986	1	3048	1151.4	685
EOG093600SY	Fragmented	7071579	1462	3584	1002.4	446
EOG093600T6	Complete	7032899	1	5989	885.8	628
EOG093600T8	Complete	7241365	815	3126	653.3	519
EOG093600TY	Missing
EOG093600TZ	Complete	7091131	1	23736	640.1	479
EOG093600U4	Complete	7310523	8315	11787	308.2	882
