# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_ABySS/k_109/Dstr_v1.3_k109-scaffolds.fa -o Dstr_v1.3_k109 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	6976248	1435	14377	5003.7	2476
EOG0936000A	Fragmented	7091420	1	8997	3204.7	1820
EOG0936001N	Fragmented	6962798	1	5942	1747.6	913
EOG0936001W	Complete	6788768	1	5247	1516.4	951
EOG09360025	Complete	6944607	1	11122	1969.4	1064
EOG0936003Z	Complete	6922948	11	12308	1738.5	1262
EOG0936004R	Complete	6788756	1	5196	1103.9	704
EOG0936004W	Complete	6784854	316	14695	1927.3	1184
EOG0936008E	Complete	6902251	1	7487	385.2	326
EOG0936008K	Complete	7033761	5559	11157	2453.5	1149
EOG09360091	Fragmented	7034481	1	5497	1709.7	1010
EOG0936009W	Complete	6741664	194	4727	1015.9	688
EOG093600CA	Complete	7074480	3726	9940	2365.6	1144
EOG093600CH	Missing
EOG093600CL	Complete	7059524	1	9169	1039.1	629
EOG093600DF	Missing
EOG093600DJ	Missing
EOG093600DL	Complete	6697449	1	6324	1843.1	1084
EOG093600EH	Complete	6834052	379	8065	1995.2	1087
EOG093600FR	Complete	6813452	1	4407	805.9	584
EOG093600G6	Complete	6804245	1	5237	930.4	809
EOG093600GM	Fragmented	6712855	1	3589	1804.2	1002
EOG093600H1	Fragmented	6695115	1	2835	444.9	231
EOG093600IQ	Complete	6968890	1783	10873	1943.9	1103
EOG093600K5	Complete	6836024	681	6453	1334.0	764
EOG093600LV	Fragmented	6742195	1247	7832	702.6	447
EOG093600N9	Complete	6783748	1804	7092	974.2	688
EOG093600NS	Missing
EOG093600O6	Fragmented	6764659	1	4589	1043.5	745
EOG093600OF	Missing
EOG093600ON	Complete	7012818	1490	15407	1685.3	960
EOG093600OU	Fragmented	6916251	1	7599	805.5	445
EOG093600P5	Complete	6910023	465	5350	975.6	739
EOG093600PE	Complete	7090881	2648	9507	2239.7	1131
EOG093600QB	Complete	6807121	1	4223	505.7	503
EOG093600R5	Missing
EOG093600SL	Missing
EOG093600SS	Fragmented	1582820	1	3048	1151.4	685
EOG093600SY	Fragmented	6986398	1462	3584	1002.4	446
EOG093600T6	Complete	7019768	1	5993	885.8	628
EOG093600T8	Complete	6917166	815	3126	653.3	519
EOG093600TY	Missing
EOG093600TZ	Complete	6742027	1	10757	500.8	332
EOG093600U4	Complete	6728823	244	3530	308.2	882
EOG093600U9	Fragmented	7031048	1	7800	649.0	465
EOG093600UX	Missing
EOG093600W2	Missing
EOG093600WS	Complete	7057770	136	3520	1360.3	877
