# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_ABySS/k_111/Dstr_v1.3_k111-scaffolds.fa -o Dstr_v1.3_k111 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	6863457	1	13043	5027.1	2487
EOG0936000A	Fragmented	6737659	1	8219	3204.6	1820
EOG0936001N	Fragmented	6797627	1	6529	1750.7	918
EOG0936001W	Complete	6657969	1	4539	1494.5	942
EOG09360025	Complete	6537103	1	7367	1169.1	694
EOG0936003Z	Complete	6696693	1	10607	1670.6	1020
EOG0936004R	Complete	6715992	3	5983	1155.5	735
EOG0936004W	Complete	6657966	316	14695	1927.3	1184
EOG0936008E	Complete	6915016	1648	6889	386.3	327
EOG0936008K	Complete	6533085	2432	7897	2453.5	1149
EOG09360091	Fragmented	6807668	1	5509	1700.0	1018
EOG0936009W	Complete	6679862	76	4613	1015.9	688
EOG093600CA	Complete	6685495	3726	9940	2365.6	1144
EOG093600CH	Missing
EOG093600CL	Complete	6865583	1	7637	959.7	583
EOG093600DF	Missing
EOG093600DJ	Missing
EOG093600DL	Fragmented	6629790	219	3396	1321.6	780
EOG093600EH	Complete	6807577	379	8065	1995.2	1087
EOG093600FR	Complete	6699362	1	4407	805.9	584
EOG093600G6	Complete	6710906	409	5856	935.6	813
EOG093600GM	Fragmented	6737162	1	3589	1804.2	1002
EOG093600H1	Fragmented	6882990	1	2821	444.9	231
EOG093600IQ	Complete	6852377	1925	10833	1943.9	1103
EOG093600K5	Complete	6667208	681	6453	1334.0	764
EOG093600LV	Fragmented	6725991	1	7193	702.6	447
EOG093600N9	Complete	6930123	1	6000	955.1	679
EOG093600NS	Missing
EOG093600O6	Missing
EOG093600OF	Missing
EOG093600ON	Complete	6943506	589	12768	1697.6	961
EOG093600OU	Fragmented	6724626	1	7872	774.0	426
EOG093600P5	Complete	6612627	1	5187	975.6	739
EOG093600PE	Complete	6992454	2605	9457	2239.7	1131
EOG093600QB	Complete	6902930	1	4223	505.7	503
EOG093600R5	Missing
EOG093600SL	Missing
EOG093600SS	Fragmented	4215839	1	3048	1151.4	685
EOG093600SY	Fragmented	6596578	365	2487	1002.4	446
EOG093600T6	Complete	6791686	1	5577	882.3	625
EOG093600T8	Complete	6732353	815	3126	653.3	519
EOG093600TY	Missing
EOG093600TZ	Complete	6923864	1	9935	500.8	332
EOG093600U4	Complete	6571847	8315	11787	308.2	882
EOG093600U9	Fragmented	6611698	1	7800	666.3	466
EOG093600UX	Fragmented	6759267	733	7285	904.3	728
EOG093600W2	Missing
EOG093600WS	Complete	6561486	136	3520	1360.3	877
EOG093600X9	Complete	6876461	5785	11257	1211.4	834
