# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_ABySS/k_103/Dstr_v1.3_k103-scaffolds.fa -o Dstr_v1.3_k103 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	7506211	1	13043	5027.1	2487
EOG0936000A	Fragmented	7454772	1	7733	3202.8	1818
EOG0936001N	Complete	7323407	1	12377	3091.8	1554
EOG0936001W	Complete	7270306	1	6865	1854.1	1121
EOG09360025	Complete	7465265	1	13319	2136.8	1131
EOG0936003Z	Complete	7274248	220	13317	1780.4	1364
EOG0936004R	Complete	7458938	1	5196	1103.9	704
EOG0936004W	Complete	5837808	316	14695	1927.3	1184
EOG0936008E	Complete	7372108	1	7977	384.7	326
EOG0936008K	Complete	7404637	306	5902	2453.5	1149
EOG09360091	Fragmented	7485666	1	5508	1700.7	1022
EOG0936009W	Complete	7430437	76	4613	1015.9	688
EOG093600CA	Complete	7454869	3726	9940	2365.6	1144
EOG093600CH	Missing
EOG093600CL	Complete	7390238	1	7457	959.7	583
EOG093600DF	Missing
EOG093600DJ	Fragmented	3507819	1	6796	1211.3	588
EOG093600DL	Complete	7448269	1875	8617	1884.1	1120
EOG093600EH	Complete	7466411	379	8065	1995.2	1087
EOG093600FR	Complete	7420385	1	3997	808.2	586
EOG093600G6	Complete	7487215	1	6938	1026.9	937
EOG093600GM	Fragmented	1345756	404	3992	1726.8	958
EOG093600H1	Fragmented	7497247	788	10521	687.7	409
EOG093600IQ	Complete	7429216	11	9182	1952.1	1120
EOG093600K5	Complete	6434323	1	6152	1334.0	764
EOG093600LV	Fragmented	3881149	1267	7852	702.6	447
EOG093600N9	Complete	7391544	1	6000	955.1	679
EOG093600NS	Missing
EOG093600O6	Fragmented	7451483	1	4589	1043.5	745
EOG093600OF	Fragmented	7349985	1	6087	761.6	350
EOG093600ON	Complete	7268310	1490	15407	1685.3	960
